longitude,latitude,Ve_est_myr,Vn_est_myr,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class
125.27517301,5.6882095,0.00322489,0.00889057,-286.25146645,-23.93323965,-90.64839626,-310.1847061,159.43602094,314.5583658,4.34366789,-314.52837399,162.6751841,Very High
125.32715894,5.6882095,0.00167465,0.0087316,-257.09003824,-23.37706176,-86.08248584,-280.46709999,145.14004689,285.41577306,4.90649689,-285.37359689,161.81136682,Very High
125.37914486,5.6882095,0.00028104,0.0086034,-231.59470475,-22.57643715,-81.21197331,-254.1711419,132.35385773,259.4929132,5.26828678,-259.43942868,161.07496494,Very High
125.43113079,5.6882095,-0.00097727,0.00850244,-209.68705802,-21.65364228,-76.38761906,-231.3407003,121.13715246,236.87059594,5.4668023,-236.80750261,160.45324604,Very High
125.48311672,5.6882095,-0.00212002,0.00842542,-190.99376542,-20.68751747,-71.80657308,-211.68128289,111.38778416,217.29923995,5.54714272,-217.22842561,159.93013327,Very High
125.53510265,5.6882095,-0.00316428,0.00836946,-175.03134717,-19.72243414,-67.55450206,-194.75378131,102.92631036,200.38005988,5.5494197,-200.30320102,159.4893892,Very High
125.58708857,5.6882095,-0.00412425,0.00833212,-161.32067607,-18.77984998,-63.64955766,-180.10052605,95.55489504,185.68676763,5.50463201,-185.60515806,159.11643739,High
125.6390745,5.6882095,-0.00501151,0.00831138,-149.44110361,-17.86776495,-60.07502348,-167.30886856,89.08924912,172.82915658,5.43481484,-172.7436834,158.79915952,High
125.69106043,5.6882095,-0.00583545,0.00830557,-139.04643006,-16.98708712,-56.79954706,-156.03351718,83.37151399,161.47708176,5.3547554,-161.38827258,158.52803122,High
125.74304635,5.6882095,-0.00660369,0.00831328,-129.86163985,-16.13545659,-53.78818469,-145.99709643,78.27247282,151.36292838,5.27392461,-151.27102104,158.2958962,High
125.79503228,5.6882095,-0.00732246,0.00833332,-121.67220752,-15.30936339,-51.00774828,-136.98157091,73.68890036,142.27467609,5.19811491,-142.17968582,158.09758739,High
125.84701821,5.6882095,-0.00799692,0.00836466,-114.31201466,-14.50523497,-48.42897835,-128.81724963,69.53930013,134.04615036,5.13067531,-133.94792494,157.92951892,High
125.89900414,5.6882095,-0.00863141,0.00840642,-107.65243084,-13.71993952,-46.02709081,-121.37237036,65.75957207,126.54749615,5.07338689,-126.44575725,157.78930987,High
125.95099006,5.6882095,-0.00922961,0.00845778,-101.59333587,-12.9509739,-43.78156249,-114.54430977,62.29921587,119.67699882,5.02706098,-119.57137075,157.67546262,High
126.00297599,5.6882095,-0.00979472,0.00851802,-96.05608276,-12.19648883,-41.67560957,-108.25257159,59.11822314,113.35448046,4.99193734,-113.24450893,157.58709855,High
126.05496192,5.6882095,-0.01032952,0.00858646,-90.97812276,-11.45523565,-39.69558392,-102.43335841,56.18462224,107.51613837,4.96794304,-107.40130145,157.5237454,High
126.10694785,5.6882095,-0.01083648,0.0086625,-86.30895948,-10.72648003,-37.83039179,-97.03543951,53.47257562,102.11058195,4.95485586,-101.99029537,157.48516795,High
126.15893377,5.6882095,-0.01131782,0.00874553,-82.00712951,-10.00990629,-36.07097745,-92.0170358,50.96092083,97.09582042,4.95240293,-96.96943873,157.47123436,High
126.2109197,5.6882095,-0.01177552,0.00883502,-78.03796175,-9.30552465,-34.40988462,-87.3434864,48.63205874,92.43698709,4.96031553,-92.30380194,157.48181141,High
126.26290563,5.6882095,-0.01221141,0.00893044,-74.37192205,-8.61358695,-32.8408942,-82.985509,46.4711092,88.1046272,4.9783547,-87.9638637,157.51668365,High
126.31489155,5.6882095,-0.01262713,0.00903129,-70.98339513,-7.93451348,-31.35873136,-78.91790861,44.46527186,84.07341407,5.00631755,-83.92422617,157.57549262,High
126.36687748,5.6882095,-0.01302422,0.00913712,-67.84979227,-7.26883125,-29.95883259,-75.11862352,42.6033433,80.32118973,5.04403154,-80.16265506,157.65769337,High
126.41886341,5.6882095,-0.01340406,0.00924746,-64.95090047,-6.61712336,-28.63716366,-71.56802383,40.87535358,76.82825052,5.09134166,-76.65936549,157.76252616,Moderate
126.47084934,5.6882095,-0.01376795,0.0093619,-62.26840991,-5.97998863,-27.39007954,-68.24839854,39.27229366,73.57681735,5.14809439,-73.39649293,157.88900176,Moderate
126.52283526,5.6882095,-0.01411707,0.00948002,-59.78418976,-5.35801016,-26.21454695,-65.14219992,37.78564183,70.54971695,5.21454187,-70.35674179,158.03535617,Moderate
126.57482119,5.6882095,-0.01445252,0.00960145,-57.45133818,-4.75176129,-25.11491693,-62.20309947,36.4015165,67.71080858,5.29996676,-67.50306624,158.18726083,Moderate
126.62680712,5.6882095,-0.01477493,0.00972564,-54.90063669,-4.1624006,-24.17326947,-59.06303728,35.04196209,64.80817387,5.51044345,-64.57348073,158.19136529,Moderate
126.67879305,5.6882095,-0.01508117,0.00985031,-50.15123136,-3.59794311,-23.86316733,-53.74917446,33.33546035,60.55569924,6.46087312,-60.21004758,157.14357547,Moderate
126.73077897,5.6882095,-0.0153492,0.00996429,-38.14652312,-3.10133246,-25.43142929,-41.24785558,30.88363552,52.51943146,10.25970773,-51.50756331,152.28368101,Moderate
126.7827649,5.6882095,-0.01551797,0.01003797,-29.47847728,-2.78782567,-26.77791106,-32.26630295,29.91912836,48.07146385,13.78597688,-46.05227984,148.24516005,Moderate
121.6361581,5.73342823,0.0250673,0.00404552,14.45761716,-11.52679351,-25.07678194,2.93082365,28.24256348,39.99474525,29.70797531,-26.77715166,121.30573095,Moderate
121.68814403,5.73342823,0.02515007,0.00407252,18.73557872,-11.72623394,-24.50850188,7.00934478,28.85562635,41.10790437,32.36029874,-25.35095397,119.0704752,Moderate
121.74012995,5.73342823,0.02528184,0.004117,24.69490087,-12.03012703,-23.64906909,12.66477384,29.94094834,43.27954509,36.27333526,-23.60856142,116.08607724,Moderate
121.79211588,5.73342823,0.02543285,0.00417062,27.11005869,-12.35367678,-23.31359514,14.75638191,30.5429259,44.43665209,37.92111686,-23.16473495,114.87825539,Moderate
121.84410181,5.73342823,0.02559226,0.00423043,28.4260835,-12.66396144,-23.12540372,15.76212207,30.93351331,45.14406647,38.81457434,-23.05245227,114.19076957,Moderate
121.89608774,5.73342823,0.02575835,0.00429604,29.59549708,-12.95338796,-22.94434894,16.64210912,31.28969564,45.78831733,39.61075019,-22.96864108,113.58136317,Moderate
121.94807366,5.73342823,0.02593115,0.00436759,30.78821525,-13.21965642,-22.74667578,17.56855883,31.64781906,46.44885394,40.43209848,-22.86353965,112.97543436,Moderate
122.00005959,5.73342823,0.02611089,0.00444521,32.01698794,-13.46132952,-22.53176086,18.55565842,32.01171016,47.13443969,41.28953937,-22.73388095,112.36875748,Moderate
122.05204552,5.73342823,0.02629777,0.00452903,33.27983396,-13.67745453,-22.30141041,19.60237944,32.38208829,47.84690088,42.18327801,-22.58089857,111.763482,Moderate
122.10403145,5.73342823,0.02649197,0.00461913,34.57410664,-13.8675821,-22.05780026,20.70652454,32.75966811,48.58777406,43.11293038,-22.40640584,111.16198363,Moderate
122.15601737,5.73342823,0.02669367,0.00471558,35.89731674,-14.03178109,-21.80330272,21.86553565,33.14532715,49.35864917,44.07809497,-22.21255932,110.56650341,Moderate
122.2080033,5.73342823,0.02690302,0.00481842,37.24728628,-14.17062624,-21.54039338,23.07666004,33.54011001,50.16118098,45.07844003,-22.00177999,109.97907371,Moderate
