point_id,site,location,longitude,latitude,Ve_kriging_mm,Vn_kriging_mm,V_horiz_mm,interp_method,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class
59,,,123.01140193,8.37200599,-3.051908,7.04119286,7.67414746,Ordinary Kriging,-125.25567344,-70.76780701,102.77206774,-196.02348045,106.32182186,204.50247444,8.31008163,-204.33356209,37.57645505,Very High
60,,,123.12162823,7.31913159,4.96589444,3.90966011,6.32024918,Ordinary Kriging,-61.78466934,-6.08011185,-51.38302267,-67.86478119,58.44625266,95.57585031,24.51386206,-92.37864325,149.23000146,High
61,,,123.60803666,8.32799771,-7.65057505,7.50060992,10.71403042,Ordinary Kriging,414.73181123,101.06222997,-281.75515523,500.0,322.46413607,500.0,500.0,-64.56711547,120.44907756,Very High
62,,,125.40141442,8.80355356,-33.59747974,18.97090656,38.58349311,Ordinary Kriging,-143.60759865,-46.48181906,111.38629324,-190.08941771,121.51238861,218.16854616,26.46767976,-216.55709747,33.22173069,Very High
63,,,125.07571198,8.79765143,-28.77916466,17.03989112,33.44545123,Ordinary Kriging,-123.83722387,-59.00254067,122.53946042,-182.83976454,126.75489496,221.01763853,35.33501269,-218.17477723,37.59103673,Very High
64,,,125.92215767,8.03759547,-29.87871903,12.76192313,32.49006822,Ordinary Kriging,-88.44899287,-78.14643783,131.79543574,-166.5954307,131.8960672,220.6131543,48.59835185,-215.19378255,43.88085539,Very High
65,,,123.86665214,7.38322154,-6.84582876,3.49567997,7.68668653,Ordinary Kriging,-238.58090892,28.38108861,-8.84512812,-210.19982032,133.77373928,240.58846372,28.67382913,-238.87364944,178.10441679,Very High
66,,,124.54591631,6.83455338,-8.80305193,4.1511458,9.73271466,Ordinary Kriging,121.36253886,44.39703644,233.09383328,165.7595753,236.24914233,354.06981361,319.12892998,-153.36935468,49.68735686,Very High
67,,,124.60807548,6.36733998,16.15309597,9.51618221,18.74780609,Ordinary Kriging,500.0,-116.30055818,-500.0,500.0,500.0,500.0,500.0,-336.34007768,105.62517887,Very High
68,,,124.86369916,7.61086357,-19.29892921,4.40223465,19.79465429,Ordinary Kriging,-56.46635568,49.52771778,-37.3831565,-6.93863791,64.8551177,91.85012211,61.38579875,-68.32443665,162.40077258,High
